class,precision,recall,f1-score,support
0,1.0,1.0,1.0,50.0
1,0.7741935483870968,0.96,0.8571428571428571,50.0
2,0.9473684210526315,0.72,0.8181818181818181,50.0
accuracy,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333
macro avg,0.9071873231465761,0.8933333333333332,0.8917748917748917,150.0
weighted avg,0.9071873231465762,0.8933333333333333,0.8917748917748918,150.0
