class,precision,recall,f1-score,support
0,1.0,1.0,1.0,10.0
1,0.7272727272727273,0.8888888888888888,0.7999999999999999,9.0
2,0.8888888888888888,0.7272727272727273,0.7999999999999999,11.0
accuracy,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
macro avg,0.872053872053872,0.872053872053872,0.8666666666666666,30.0
weighted avg,0.8774410774410775,0.8666666666666667,0.8666666666666667,30.0
